full_name,rating,jersey,team,position,b_day,Age,Salary,country,draft_year,years_in_league,draft_round,draft_peak,college,Height,Weight
LeBron James,97,#23,Los Angeles Lakers,F,30/12/1984,35,37436858,United States of America,2003,17,1,1,,1.98,93.4
Kawhi Leonard,97,#2,Los Angeles Clippers,F,29/6/1991,29,32742000,United States of America,2011,9,1,15,San Diego State,2.06,102.1
Kevin Durant,96,#7,Brooklyn Nets,F,29/9/1988,32,37199000,United States of America,2007,13,1,2,Texas,1.96,102.1
James Harden,96,#13,Houston Rockets,G,26/8/1989,31,38199000,United States of America,2009,11,1,3,Arizona State,1.85,89.4
Giannis Antetokounmpo,96,#34,Milwaukee Bucks,F-G,6/12/1994,25,25842697,Greece,2013,7,1,15,,2.03,117.9
Stephen Curry,95,#30,Golden State Warriors,G,14/3/1988,32,40231758,United States of America,2009,11,1,7,Davidson,2.01,89.4
Anthony Davis,94,#3,Los Angeles Lakers,F-C,11/3/1993,27,27093019,United States of America,2012,8,1,1,Kentucky,2.03,99.8
Paul George,93,#13,Los Angeles Clippers,F,2/5/1990,30,33005556,United States of America,2010,10,1,10,Fresno State,1.98,91.6
Damian Lillard,92,#0,Portland Trail Blazers,G,15/7/1990,30,29802321,United States of America,2012,8,1,6,Weber State,1.91,81.6
Kyrie Irving,91,#11,Brooklyn Nets,G,23/3/1992,28,31742000,Australia,2011,9,1,1,Duke,2.01,102.1
Average NBA Player,76,,,,,27,8530080,,,6,,,,2.00,97.2
