full_name,rating,jersey,team,position,b_day,Age,Salary,salary_rounded,country,draft_year,years_in_league,draft_round,draft_peak,college
1. Stephen Curry,95,#30,Golden State Warriors,G,14/3/1988,32,40231758,40,United States of America,2009,11,1,7,Davidson
2. Russell Westbrook,90,#0,Houston Rockets,G,12/11/1988,31,38506482,39,United States of America,2008,12,1,4,UCLA
3. Chris Paul,85,#3,Oklahoma City Thunder,G,6/5/1985,35,38506482,39,United States of America,2005,15,1,4,Wake Forest
4. James Harden,96,#13,Houston Rockets,G,26/8/1989,31,38199000,38,United States of America,2009,11,1,3,Arizona State
5. John Wall,86,#2,Washington Wizards,G,6/9/1990,30,38199000,38,United States of America,2010,10,1,1,Kentucky
6. LeBron James,97,#23,Los Angeles Lakers,F,30/12/1984,35,37436858,37,United States of America,2003,17,1,1,
7. Kevin Durant,96,#7,Brooklyn Nets,F,29/9/1988,32,37199000,37,United States of America,2007,13,1,2,Texas
8. Blake Griffin,88,#23,Detroit Pistons,F,16/3/1989,31,34449964,34,United States of America,2009,11,1,1,Oklahoma
9. Kyle Lowry,85,#7,Toronto Raptors,G,25/3/1986,34,33296296,33,United States of America,2006,14,1,24,Villanova
10. Paul George,93,#13,Los Angeles Clippers,F,2/5/1990,30,33005556,33,United States of America,2010,10,1,10,Fresno State
Average NBA Player,76,,,,,27,8530080,9,,,6,,,
