Area,State,Year,Category,Hectares
Peninsular Malaysia,Johor,2000,Forested,474657
Peninsular Malaysia,Johor,2000,Non-Forested,1423972
Peninsular Malaysia,Johor,2001,Forested,474657
Peninsular Malaysia,Johor,2001,Non-Forested,1423972
Peninsular Malaysia,Johor,2002,Forested,474657
Peninsular Malaysia,Johor,2002,Non-Forested,1423972
Peninsular Malaysia,Johor,2003,Forested,474657
Peninsular Malaysia,Johor,2003,Non-Forested,1423972
Peninsular Malaysia,Johor,2004,Forested,472980
Peninsular Malaysia,Johor,2004,Non-Forested,1425649
Peninsular Malaysia,Johor,2005,Forested,493072
Peninsular Malaysia,Johor,2005,Non-Forested,1405557
Peninsular Malaysia,Johor,2006,Forested,508495
Peninsular Malaysia,Johor,2006,Non-Forested,1390134
Peninsular Malaysia,Johor,2007,Forested,490209
Peninsular Malaysia,Johor,2007,Non-Forested,1408420
Peninsular Malaysia,Johor,2008,Forested,441777
Peninsular Malaysia,Johor,2008,Non-Forested,1456852
Peninsular Malaysia,Johor,2009,Forested,468451
Peninsular Malaysia,Johor,2009,Non-Forested,1430178
Peninsular Malaysia,Johor,2010,Forested,467262
Peninsular Malaysia,Johor,2010,Non-Forested,1434338
Peninsular Malaysia,Johor,2011,Forested,466792
Peninsular Malaysia,Johor,2011,Non-Forested,1434808
Peninsular Malaysia,Johor,2012,Forested,466792
Peninsular Malaysia,Johor,2012,Non-Forested,1434808
Peninsular Malaysia,Johor,2013,Forested,466793
Peninsular Malaysia,Johor,2013,Non-Forested,1434807
Peninsular Malaysia,Johor,2014,Forested,466768
Peninsular Malaysia,Johor,2014,Non-Forested,1435225
Peninsular Malaysia,Johor,2015,Forested,449221
Peninsular Malaysia,Johor,2015,Non-Forested,1452379
Peninsular Malaysia,Johor,2016,Forested,449212
Peninsular Malaysia,Johor,2016,Non-Forested,1452388
Peninsular Malaysia,Johor,2017,Forested,447753
Peninsular Malaysia,Johor,2017,Non-Forested,1468847
Peninsular Malaysia,Kedah,2000,Forested,349285
Peninsular Malaysia,Kedah,2000,Non-Forested,593315
Peninsular Malaysia,Kedah,2001,Forested,349112
Peninsular Malaysia,Kedah,2001,Non-Forested,593488
Peninsular Malaysia,Kedah,2002,Forested,347218
Peninsular Malaysia,Kedah,2002,Non-Forested,595382
Peninsular Malaysia,Kedah,2003,Forested,347299
Peninsular Malaysia,Kedah,2003,Non-Forested,595301
Peninsular Malaysia,Kedah,2004,Forested,345382
