full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
Boban Marjanovic,75,#51,Dallas Mavericks,C,08/15/1988,2.24,131.5,3500000,Serbia,2010,Undrafted,Undrafted,
Kristaps Porzingis,87,#6,Dallas Mavericks,F-C,8/2/1995,2.21,99.8,27285000,Latvia,2015,1,4,
Luke Kornet,71,#2,Chicago Bulls,C,07/15/1995,2.18,108.9,2250000,United States of America,2017,Undrafted,Undrafted,Vanderbilt
Rudy Gobert,88,#27,Utah Jazz,C,06/26/1992,2.16,108,25258427,France,2013,1,27,
Jakob Poeltl,77,#25,San Antonio Spurs,C-F,10/15/1995,2.16,108.4,3754885,Austria,2016,1,9,Utah
Pau Gasol,75,#0,,C,7/6/1980,2.16,113.4,5538540,Spain,2001,1,3,
Joel Embiid,91,#21,Philadelphia 76ers,C,03/16/1994,2.13,113.4,27504630,Cameroon,2014,1,3,Kansas
Nikola Jokic,90,#15,Denver Nuggets,C,02/19/1995,2.13,114.8,27504630,Serbia,2014,2,41,
Lauri Markkanen,83,#24,Chicago Bulls,F-C,05/22/1997,2.13,108.9,5300400,Finland,2017,1,7,Arizona
Jusuf Nurkic,83,#27,Portland Trail Blazers,C,08/23/1994,2.13,131.5,12000000,Bosnia and Herzegovina,2014,1,16,
Average NBA Player,76,,,,,2,97.2,,,6,,,
Aaron Holiday,73,#3,Indiana Pacers,G,09/30/1996,1.83,83.9,2239200,United States of America,2018,1,23,UCLA
Tyus Jones,73,#21,Memphis Grizzlies,G,5/10/1996,1.83,83.9,10116000,United States of America,2015,1,24,Duke
Ishmael Smith,73,#14,Washington Wizards,G,7/5/1988,1.83,79.4,6000000,United States of America,2010,Undrafted,Undrafted,Wake Forest
Tim Frazier,72,#0,,G,11/1/1990,1.83,77.1,1620564,United States of America,2014,Undrafted,Undrafted,Penn State
Brandon Goodwin,68,#0,Atlanta Hawks,G,10/2/1995,1.83,81.6,522738,United States of America,2018,Undrafted,Undrafted,Florida Gulf Coast
DJ Augustin,76,#14,Orlando Magic,G,11/10/1987,1.8,81.6,7250000,United States of America,2008,1,9,Texas
Frank Mason,71,#15,Milwaukee Bucks,G,04/13/1994,1.8,86.2,79568,United States of America,2017,2,34,Kansas
Carsen Edwards,71,#4,Boston Celtics,G,3/12/1998,1.8,90.7,1228026,United States of America,2019,2,33,Purdue
Jose Juan Barea,76,#5,Dallas Mavericks,G,06/26/1984,1.78,79.4,2564753,Puerto Rico,2006,Undrafted,Undrafted,Northeastern
Isaiah Thomas,76,#0,,G,2/7/1989,1.75,83.9,2320044,United States of America,2011,2,60,Washington
